C10;1000uF;CPOL-EUE5-10.5;E5-10,5;POLARIZED CAPACITOR, European symbol;;;;;C
C11;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;C
C12;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;C
C13;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;C
C14;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;C
C16;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;C
C17;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;C
C18;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;C
C19;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;C
L1;100uH;L-EU2200-15.24;2200-15.24;INDUCTOR, European symbol;;;;;L
R1;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
R10;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
R14;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
R6;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
R7;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
Q1;16MHz;CRYSTALHC18U-V;HC18U-V;CRYSTAL;;;unknown;unknown;
D1;1N5822;SCHOTTKY-DIODEDO201T15;DO201T15;Schottky Diode;;;;;
R2;220R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
R3;220R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
R4;220R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
R8;220R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
R9;220R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
R18;270R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
R19;270R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
R12;2k2;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
R11;33k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
C15;4,7µF;CPOL-EUE2.5-5;E2,5-5;POLARIZED CAPACITOR, European symbol;;;;;C
R13;67k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;R
T1;BCR141;BCR141;SOT23-R_INFINEON;NPN Silicon Digital Transistor 50V 0,1A 0,2W;;;;;
LED1;blue;LEDCHIP-LED0805;CHIP-LED0805;LED;;;;;
LED7;blue;LEDCHIP-LED0805;CHIP-LED0805;LED;;;;;
IC2;BTS555E3146;BTS555E3146;TO220-52;PROFET® Data Sheet BTS555;;;unknown;unknown;
D2;BZX55C3V3;BZX55;DO35Z10;Z DIODE;;;;;
IC5;FT232RL;FT232RL;SSOP28;Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf;;FT232RL;1146032;91K9918;
LED2;green;LEDCHIP-LED0805;CHIP-LED0805;LED;;;;;
LED4;green;LEDSML0805;SML0805;LED;;;;;
U1;HC_05;HC_05;BLUETOOTH_SMD;HC-05 Bluetooth Module;;;;;
IC6;ISO7221A;ISO7221A;SO-08;DUAL DIGITAL ISOLATORS;;ISO7221AD;1390651;48M0672;
SV1;ISP;ML6;ML6;HARTING;;;unknown;unknown;
IC4;LM2576S;LM2576S;TO263-5;"National Semiconductor 3.0A ""Simple Switcher""(c)";;;;;
IC3;MAX3232CPE;MAX3232CPE;DIL16;True RS-232 Transceivers 3.0V to 5.5V, Low-Power;MAXIM;MAX3232CPE+;9724494;68K4626;
IC1;MEGA8-P;MEGA8-P;DIL28-3;MICROCONTROLLER;;;unknown;unknown;
H1;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3;MOUNTING HOLE with drill center marker;;;;;
H3;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3;MOUNTING HOLE with drill center marker;;;;;
H4;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3;MOUNTING HOLE with drill center marker;;;;;
LED5;orange;LEDSML0805;SML0805;LED;;;;;
LED3;red;LEDCHIP-LED0805;CHIP-LED0805;LED;;;;;
LED6;red;LEDCHIP-LED0805;CHIP-LED0805;LED;;;;;
CON3;RIA-AKL-230-03;RIA-AKL-230-03;CON-RIA-P3;;;;;;
CON1;RIA-AKL-230-04;RIA-AKL-230-04;CON-RIA-P4;;;;;;
CON2;RIA-AKL-230-04;RIA-AKL-230-04;CON-RIA-P4;;;;;;
X2;RS232;F09HP;F09HP;SUB-D;;;unknown;unknown;
JP1;UART_SELECTOR;PINHD-2X3;2X03;PIN HEADER;;;;;
JP2;;PINHD-1X1;1X01;PIN HEADER;;;;;
JP3;;PINHD-1X1;1X01;PIN HEADER;;;;;
JP4;;PINHD-1X1;1X01;PIN HEADER;;;;;
S1;;10-XX;B3F-10XX;OMRON SWITCH;;B3F-1000;176432;36M3542;
U2;;"USB""";USB-MICRO-SMD;This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device;;;;;
